"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
"1" 93302.3 12 15 1 240 170 1 44 5 0 21
"2" 130001.34 25 14 1 510 160 1 53 9 0 28
"3" 88203.33 20 14 0 370 170 1 56 5 0 26
"4" 74399.17 3 19 1 170 170 1 26 9 0 24
"5" 115300.84 19 12 1 520 150 1 43 7 0 27
"6" 70396.58 14 13 0 420 160 1 53 9 0 27
"7" 114199.25 18 18 1 290 170 1 43 7 0 22
"8" 72598.53 2 17 1 200 180 1 31 10 0 26
"9" 108597.1 14 13 1 560 180 1 43 7 0 23
"10" 68596.72 4 16 1 230 160 1 36 10 0 25
"11" 101997.13 8 18 1 540 150 1 39 8 1 21
"12" 101397.12 19 15 1 90 180 1 47 7 1 30
"13" 149402.61 23 16 1 560 180 1 47 7 1 23
"14" 57102.32 5 15 0 470 150 1 44 7 1 21
"15" 87404.32 3 16 1 340 190 1 33 6 1 29
"16" 131006.21 22 17 1 70 200 1 50 7 1 22
"17" 90300.66 24 14 0 160 180 1 49 6 1 26
"18" 115601.01 22 16 1 160 190 1 51 9 1 25
"19" 102795.82 13 18 1 110 180 1 33 7 1 24
"20" 141903.14 21 16 1 410 180 1 59 7 0 24
"21" 90898.61 10 13 1 370 190 1 49 7 0 26
"22" 73401.53 11 12 1 180 170 1 39 5 0 25
"23" 101002.44 12 19 1 60 200 1 39 7 0 24
"24" 85399.88 10 19 1 60 180 1 37 8 0 27
"25" 138302.69 26 17 1 110 200 1 48 9 0 24
"26" 82297.83 7 15 1 280 190 1 45 6 0 23
"27" 85502.42 7 19 1 110 180 1 29 10 0 23
"28" 75297.33 10 19 0 300 170 1 41 6 0 23
"29" 87500.52 23 14 0 220 170 1 53 6 0 27
"30" 127096.26 12 15 1 570 200 1 41 9 0 26
"31" 80097.51 6 16 1 240 180 1 33 9 0 25
"32" 90898.61 15 16 0 300 150 1 38 6 0 25
"33" 109600.81 15 18 1 260 170 1 41 8 0 22
"34" 70699.94 8 13 1 150 160 1 37 5 0 29
"35" 104401.57 18 19 0 350 160 1 38 10 0 29
"36" 71196.58 2 13 1 370 190 1 26 6 0 21
"37" 85399.88 13 14 1 150 160 1 52 10 0 21
"38" 89303.86 12 17 0 480 190 1 33 9 0 20
"39" 124804.03 21 15 1 310 180 1 52 7 0 22
"40" 42800.28 3 12 0 340 150 1 23 7 0 25
"41" 125003.87 20 16 1 520 160 1 43 6 0 28
"42" 122198.25 20 19 1 200 170 1 44 9 0 26
"43" 107098.04 20 17 0 490 160 1 40 5 0 30
"44" 60998.22 1 15 0 570 180 1 30 8 0 30
"45" 59802.34 2 17 1 70 160 1 37 6 0 23
"46" 95702.53 9 17 1 300 160 1 37 10 0 20
"47" 85596.53 11 17 0 190 160 1 41 6 0 25
"48" 88902.9 21 13 0 500 160 1 47 8 0 24
"49" 143000.01 20 20 1 390 170 1 47 6 0 21
"50" 109196.03 17 16 0 520 180 0 49 9 0 24
"51" 156701.81 24 12 1 530 200 0 60 9 0 23
"52" 65101.31 2 17 0 590 190 0 28 9 0 27
"53" 105905.24 9 13 1 560 170 0 45 8 0 22
"54" 74302.51 2 18 0 600 190 0 38 6 0 23
"55" 79300.52 13 12 0 390 170 0 48 8 0 24
"56" 106595.86 14 18 1 110 170 0 53 9 0 26
"57" 106404.17 18 13 1 190 190 0 55 10 0 25
"58" 77396.74 10 14 1 110 160 0 34 9 0 30
"59" 129404.7 21 13 1 430 190 0 59 9 0 26
"60" 82602.89 11 14 0 440 150 0 31 8 0 23
"61" 126096.15 26 15 1 210 190 0 54 7 0 27
"62" 121905.33 22 18 1 320 160 0 57 5 0 22
"63" 96201.48 3 16 1 560 180 0 38 10 0 29
"64" 128901.01 17 18 1 450 190 0 53 8 0 24
"65" 72200.34 2 16 1 410 180 0 35 6 0 24
"66" 58800.17 4 18 0 70 150 0 43 6 0 20
"67" 79300.52 8 17 1 90 190 0 34 8 0 25
"68" 96095.71 13 15 1 290 160 0 33 6 0 23
"69" 94901.99 3 18 1 530 180 0 27 8 0 24
"70" 89000.74 13 16 0 420 170 0 47 8 0 25
"71" 108803.63 25 19 0 150 200 0 49 10 0 28
"72" 95301.42 11 15 1 500 190 0 44 8 0 21
"73" 71196.58 2 17 0 430 190 0 36 8 0 20
"74" 173407.57 26 17 1 570 190 0 49 6 0 29
"75" 107001.7 20 20 1 90 150 0 59 9 0 27
"76" 99997.45 19 12 1 340 160 0 54 9 0 22
"77" 100699.89 12 13 1 440 170 0 41 8 0 27
"78" 152802.27 22 18 1 500 160 0 55 7 0 24
"79" 95301.42 13 13 0 570 180 0 37 6 0 27
"80" 77296.19 2 15 1 560 190 0 34 10 0 22
"81" 84600.88 15 14 1 160 170 0 54 9 1 25
"82" 92595.89 12 13 1 390 190 0 35 6 1 24
"83" 85896.64 13 19 0 370 200 0 40 7 1 29
"84" 79403.68 5 17 1 330 160 0 40 6 1 22
"85" 80097.51 8 17 0 560 170 0 42 7 1 25
"86" 114096.52 21 20 0 590 180 0 46 8 1 27
"87" 78503.62 5 16 1 290 200 0 28 9 1 24
"88" 87299.5 9 18 0 440 180 0 37 7 1 28
"89" 102898.67 19 15 0 480 190 0 42 10 1 28
"90" 116296.7 23 19 1 130 150 0 55 9 0 24
"91" 51498.09 3 12 0 440 190 0 38 10 0 22
"92" 106499.97 13 19 1 310 150 0 51 6 0 29
"93" 108999.66 22 17 0 370 200 0 55 10 0 29
"94" 66602.67 9 12 0 180 160 0 39 7 0 22
"95" 111101.56 7 19 1 520 200 0 40 10 0 22
"96" 83100 10 18 0 90 180 0 34 10 0 28
"97" 159500.13 25 18 1 590 160 0 64 10 0 21
"98" 122504.13 10 19 1 480 200 0 48 5 0 26
"99" 67298.96 3 19 1 80 160 0 27 7 0 28
"100" 97899.82 16 17 0 380 160 0 50 7 0 29
